dcastl2 5 1 2 5 1 2 4 5 1 5
pmill29 3 4 3 3 2 2 3 3 4 4
samede3 4 4 4 3 1 2 3 3 4 2
clasho2 3 4 2 3 3 2 2 5 2 3
cnguy71 4 4 5 4 3 3 2 3 3 4
cfranz7 4 5 5 4 3 2 4 5 3 3
ckerri2 2 5 3 4 2 4 1 4 4 3
hvu11   2 4 4 4 3 2 3 3 2 3
jhoff26 2 5 5 4 2 3 5 3 1 4
brobw72 2 5 4 4 3 2 5 3 1 4
sgeor15 5 5 3 3 1 2 1 4 5 5
nagraw4 2 4 3 4 4 4 2 4 4 5
bduvie1 1 3 4 4 5 3 4 4 1 2
hhah1   4 4 3 3 2 3 2 4 3 3
lweber6 4 4 3 5 3 1 4 4 2 5 
dhugh21 4 3 4 5 2 2 3 3 1 2
jcham53 4 5 4 4 4 3 2 4 5 4
mcabre3 4 2 2 4 1 2 4 5 4 5 
blee27  5 4 2 1 1 3 3 5 4 5
dreedy1 4 4 5 5 5 3 3 3 1 4
